dimension,stratum,corpus_n,gold_n,corpus_share,expected_in_gold,observed_in_gold,ratio_obs_exp
repo,fastapi,934,5,0.044395855119307916,4.439585511930791,5,1.1262312633832978
repo,flask,1967,6,0.09349748074912063,9.349748074912064,6,0.6417285205897305
repo,keras,9256,51,0.43996577621446903,43.9965776214469,51,1.1591810717372515
repo,requests,2749,13,0.1306683144785626,13.066831447856261,13,0.99488541287741
repo,scrapy,6132,25,0.2914725734385398,29.147257343853976,25,0.857713633398565
size,XS (≤Q1),6305,15,0.2996957885730583,29.96957885730583,15,0.50050753370341
size,S (Q1-Q2),4625,13,0.2198402890008556,21.98402890008556,13,0.5913383783783784
size,M (Q2-Q3),4873,16,0.2316284817948474,23.16284817948474,16,0.6907613379848143
size,L (>Q3),5235,56,0.24883544063123872,24.88354406312387,56,2.2504832855778414
label_satd,0,20390,50,0.9691985930221504,96.91985930221504,50,0.5158901422265816
label_satd,1,648,50,0.030801406977849607,3.0801406977849606,50,16.233024691358025
