ratio,c_fn,c_fp,threshold,fn,fp,cost
1:1,1,1,0.0,0,3986,3986.0
1:1,1,1,0.004,1,3913,3914.0
1:1,1,1,0.008,4,3359,3363.0
1:1,1,1,0.012,4,3127,3131.0
1:1,1,1,0.016,5,2963,2968.0
1:1,1,1,0.02,7,2842,2849.0
1:1,1,1,0.024,8,2708,2716.0
1:1,1,1,0.028,9,2591,2600.0
1:1,1,1,0.032,10,2464,2474.0
1:1,1,1,0.036,11,2332,2343.0
1:1,1,1,0.04,13,2207,2220.0
1:1,1,1,0.044,15,2063,2078.0
1:1,1,1,0.048,15,1914,1929.0
1:1,1,1,0.052,17,1844,1861.0
1:1,1,1,0.056,18,1764,1782.0
1:1,1,1,0.06,18,1695,1713.0
1:1,1,1,0.064,22,1626,1648.0
1:1,1,1,0.068,23,1572,1595.0
1:1,1,1,0.072,25,1510,1535.0
1:1,1,1,0.076,25,1442,1467.0
1:1,1,1,0.08,26,1389,1415.0
1:1,1,1,0.084,27,1333,1360.0
1:1,1,1,0.088,29,1293,1322.0
1:1,1,1,0.092,33,1242,1275.0
1:1,1,1,0.096,35,1196,1231.0
1:1,1,1,0.1,36,1162,1198.0
1:1,1,1,0.104,37,1124,1161.0
1:1,1,1,0.108,37,1087,1124.0
1:1,1,1,0.112,38,1041,1079.0
1:1,1,1,0.116,43,1007,1050.0
1:1,1,1,0.12,46,969,1015.0
1:1,1,1,0.124,48,933,981.0
1:1,1,1,0.128,50,894,944.0
1:1,1,1,0.132,50,867,917.0
1:1,1,1,0.136,51,833,884.0
1:1,1,1,0.14,51,803,854.0
1:1,1,1,0.144,52,773,825.0
1:1,1,1,0.148,52,750,802.0
1:1,1,1,0.152,53,727,780.0
1:1,1,1,0.156,57,706,763.0
1:1,1,1,0.16,57,683,740.0
1:1,1,1,0.164,61,665,726.0
1:1,1,1,0.168,61,649,710.0
1:1,1,1,0.172,64,633,697.0
1:1,1,1,0.176,65,624,689.0
1:1,1,1,0.18,66,607,673.0
1:1,1,1,0.184,66,588,654.0
1:1,1,1,0.188,67,567,634.0
1:1,1,1,0.192,68,551,619.0
