feature,mean_abs_lime,n_support
lines_added,0.11057552859744267,60
churn_delta,0.04648315492855838,60
cc_delta_max,0.042182848149926996,60
n_authors_till_now,0.037015320425185266,60
churn_cum,0.024147210118833255,60
cc_delta_sum,0.021083073373897157,60
hunks,0.017133558403394547,60
dmm_unit_interfacing,0.011354284003692388,60
n_methods_changed,0.011333883393362278,60
n_commits_file_past90d,0.011136569739461314,60
files_changed,0.0081946046117884,60
dmm_unit_size,0.0075666728515270225,60
contributors_cum,0.006703608711805498,60
complexity_current_sum,0.0064047189854648775,60
lines_deleted,0.004288896507660814,60
contributors_count,0.0029216241688896716,60
dmm_unit_complexity,0.0020166043364946524,60
