model,split,feature_set,label_col,threshold,p_debt,r_debt,f1_debt,f1_macro,f1_weighted,f1_micro,mcc,balanced_acc,roc_auc,pr_auc_debt,specificity,tn,fp,fn,tp,n_samples,imbalance,phase,tuned_threshold,threshold_objective
rf,lopo_fastapi/val,all,label_llm,0.328,0.42857142857142855,0.39285714285714285,0.40993788819875776,0.6883198028445594,0.9356677681469672,0.9369608493696084,0.37710401573198116,0.6809682762774821,0.8351696616805541,0.3794083595404886,0.9690794096978215,2758,88,102,66,3014,none,val,0.328,f1
rf,lopo_fastapi/test,all,label_llm,0.328,0.32989690721649484,0.47761194029850745,0.3902439024390244,0.6657792282148174,0.9017837899071454,0.892933618843683,0.34057762110890893,0.7013203876809723,0.7715574377248705,0.308971436273815,0.9250288350634371,802,65,35,32,934,none,test,0.328,f1
lgbm,lopo_fastapi/val,all,label_llm,0.048543204206238706,0.2145214521452145,0.3869047619047619,0.2760084925690021,0.6073222236103963,0.9017011790612436,0.8868613138686131,0.23138106243179105,0.6516393099755714,0.7131228457651507,0.22002153386918402,0.9163738580463809,2608,238,103,65,3014,none,val,0.048543204206238706,f1
lgbm,lopo_fastapi/test,all,label_llm,0.048543204206238706,0.1513157894736842,0.6865671641791045,0.24797843665768193,0.53080284558335,0.773050733314115,0.7012847965738758,0.21422864922337592,0.6944946547539121,0.7341493225911963,0.2893883276569143,0.7024221453287197,609,258,21,46,934,none,test,0.048543204206238706,f1
xgb,lopo_fastapi/val,all,label_llm,0.17922572791576385,0.47058823529411764,0.23809523809523808,0.31620553359683795,0.643124411820064,0.9335984515950473,0.942601194426012,0.308042265180248,0.6111417862999029,0.7371540675300339,0.2785755781184554,0.9841883345045678,2801,45,128,40,3014,none,val,0.17922572791576385,f1
xgb,lopo_fastapi/test,all,label_llm,0.17922572791576385,0.23300970873786409,0.3582089552238806,0.2823529411764706,0.6052518533915333,0.8818247974729575,0.8693790149892934,0.2200319286911592,0.6335450773812598,0.7039714920208645,0.2583699907148953,0.908881199538639,788,79,43,24,934,none,test,0.17922572791576385,f1
rf,lopo_fastapi/val,all,label_llm,0.192,0.3825136612021858,0.4166666666666667,0.39886039886039887,0.6808464404025439,0.9313967453958633,0.9299933642999336,0.36213789445690137,0.6884809088779574,0.8306792323394572,0.32281690560394116,0.9602951510892481,2733,113,98,70,3014,class_weight,val,0.192,f1
rf,lopo_fastapi/test,all,label_llm,0.192,0.2711864406779661,0.47761194029850745,0.34594594594594597,0.6370252605546723,0.8863437313116115,0.8704496788008566,0.29392340518389465,0.6892096610373737,0.7564082700683434,0.30648854128454617,0.9008073817762399,781,86,35,32,934,class_weight,test,0.192,f1
lgbm,lopo_fastapi/val,all,label_llm,0.36595991141320633,0.29775280898876405,0.31547619047619047,0.3063583815028902,0.6320598665698189,0.9214522278867514,0.920371599203716,0.2642814092287793,0.6357774487166616,0.7185994127095672,0.22918983649775626,0.9560787069571328,2721,125,115,53,3014,class_weight,val,0.36595991141320633,f1
lgbm,lopo_fastapi/test,all,label_llm,0.36595991141320633,0.22413793103448276,0.582089552238806,0.3236514522821577,0.6117335319185835,0.8584847778598474,0.8254817987152034,0.28259376048355866,0.7131901048391261,0.7287266091686894,0.28934097027247435,0.8442906574394463,732,135,28,39,934,class_weight,test,0.36595991141320633,f1
xgb,lopo_fastapi/val,all,label_llm,0.14476041495800018,0.2994652406417112,0.3333333333333333,0.3154929577464789,0.6363292393174489,0.9213987688619271,0.9193762441937624,0.2732308788030607,0.6436519091122043,0.7202715590804136,0.24370364740268605,0.9539704848910752,2715,131,112,56,3014,class_weight,val,0.14476041495800018,f1
xgb,lopo_fastapi/test,all,label_llm,0.14476041495800018,0.16371681415929204,0.5522388059701493,0.2525597269624573,0.5567560539574191,0.8173096530965727,0.765524625267666,0.20139188405275182,0.6671228631926871,0.6999604055845341,0.27138177687450993,0.7820069204152249,678,189,30,37,934,class_weight,test,0.14476041495800018,f1
rf,lopo_fastapi/val,no_maturity,label_llm,0.332,0.3717277486910995,0.4226190476190476,0.3955431754874652,0.6786324097581973,0.930162923818257,0.9280026542800266,0.35826370483507247,0.6902273031489475,0.8094746595054044,0.3520625187394642,0.9578355586788475,2726,120,97,71,3014,none,val,0.332,f1
rf,lopo_fastapi/test,no_maturity,label_llm,0.332,0.390625,0.373134328358209,0.3816793893129771,0.6675236324803228,0.9123581020026744,0.9132762312633833,0.3351752190041468,0.6640758146981356,0.7721943913649745,0.29321790896393446,0.9550173010380623,828,39,42,25,934,none,test,0.332,f1
lgbm,lopo_fastapi/val,no_maturity,label_llm,0.23392292340118678,0.3319327731092437,0.47023809523809523,0.3891625615763547,0.6725250730329301,0.9242983994034374,0.9177173191771731,0.3525026654731633,0.7071851052437841,0.8124498042365225,0.3496631066211105,0.9441321152494729,2687,159,89,79,3014,none,val,0.23392292340118678,f1
lgbm,lopo_fastapi/test,no_maturity,label_llm,0.23392292340118678,0.3380281690140845,0.3582089552238806,0.34782608695652173,0.6479014827846192,0.9049253764275292,0.9036402569593148,0.2959951426570851,0.6519995179810291,0.7045395858079844,0.2865542858087792,0.9457900807381776,820,47,43,24,934,none,test,0.23392292340118678,f1
xgb,lopo_fastapi/val,no_maturity,label_llm,0.1819271445274353,0.30042918454935624,0.4166666666666667,0.3491271820448878,0.651371836979437,0.9199223299836582,0.9134041141340411,0.3087191792352322,0.679696650269384,0.7762084630057222,0.29427039407230493,0.9427266338721012,2683,163,98,70,3014,none,val,0.1819271445274353,f1
xgb,lopo_fastapi/test,no_maturity,label_llm,0.1819271445274353,0.2804878048780488,0.34328358208955223,0.3087248322147651,0.6244031374570045,0.8947914074717703,0.8897216274089935,0.2509692228988728,0.6376164161889515,0.646180860403863,0.21122344544593114,0.9319492502883506,808,59,44,23,934,none,test,0.1819271445274353,f1
rf,lopo_fastapi/val,no_maturity,label_llm,0.4718806167582985,0.4090909090909091,0.26785714285714285,0.3237410071942446,0.6455226775101658,0.9314322040881475,0.9376244193762442,0.29976129452761635,0.622509035237426,0.7775051868955595,0.29317007043739085,0.9771609276177091,2781,65,123,45,3014,class_weight,val,0.4718806167582985,f1
rf,lopo_fastapi/test,no_maturity,label_llm,0.4718806167582985,0.38461538461538464,0.14925373134328357,0.21505376344086022,0.58696350143874,0.9055157395525556,0.9218415417558886,0.20517419629350922,0.5653996453717571,0.6786396736042968,0.20577068594716838,0.9815455594002307,851,16,57,10,934,class_weight,test,0.4718806167582985,f1
lgbm,lopo_fastapi/val,no_maturity,label_llm,0.6717620158338192,0.3063063063063063,0.40476190476190477,0.3487179487179487,0.6518332560191376,0.9211573412721514,0.9157266091572661,0.30797312330772386,0.6753254358665461,0.7900373958437908,0.30773855242338577,0.9458889669711876,2692,154,100,68,3014,class_weight,val,0.6717620158338192,f1
lgbm,lopo_fastapi/test,no_maturity,label_llm,0.6717620158338192,0.4032258064516129,0.373134328358209,0.3875968992248062,0.6710842460471358,0.9138999606701161,0.9154175588865097,0.3425387463720936,0.6652292172356212,0.6525159668784106,0.27810644963296133,0.9573241061130334,830,37,42,25,934,class_weight,test,0.6717620158338192,f1
xgb,lopo_fastapi/val,no_maturity,label_llm,0.6926279664039612,0.34532374100719426,0.2857142857142857,0.3127035830618892,0.6379109595085709,0.9268642953162064,0.9299933642999336,0.2775453709045209,0.6268697921895392,0.7333663788776228,0.2647124678924984,0.9680252986647927,2755,91,120,48,3014,class_weight,val,0.6926279664039612,f1
xgb,lopo_fastapi/test,no_maturity,label_llm,0.6926279664039612,0.3170731707317073,0.19402985074626866,0.24074074074074073,0.5970749158249158,0.9022862006935883,0.9122055674518201,0.20371930061763496,0.5808672898483362,0.624937595758233,0.21606658237812978,0.9677047289504037,839,28,54,13,934,class_weight,test,0.6926279664039612,f1
rf,lopo_flask/val,all,label_llm,0.348,0.4407894736842105,0.40606060606060607,0.4227129337539432,0.6944151597116318,0.9347561633657048,0.9359916054564533,0.3892576140742432,0.6872545049605183,0.8319160423837484,0.3746437350424714,0.9684484038604306,2609,85,98,67,2859,none,val,0.348,f1
rf,lopo_flask/test,all,label_llm,0.348,0.4375,0.4430379746835443,0.44025157232704404,0.7083377066933234,0.954889723505016,0.9547534316217591,0.41668533520665063,0.7096016144604163,0.866059456125295,0.44352063798173924,0.9761652542372882,1843,45,44,35,1967,none,test,0.348,f1
lgbm,lopo_flask/val,all,label_llm,0.06505706438570893,0.24583333333333332,0.3575757575757576,0.291358024691358,0.6186697896842824,0.9082016027892512,0.8996152500874431,0.2442014191027497,0.6451947087804549,0.7060819779082586,0.20428421328887783,0.9328136599851522,2513,181,106,59,2859,none,val,0.06505706438570893,f1
lgbm,lopo_flask/test,all,label_llm,0.06505706438570893,0.1523809523809524,0.810126582278481,0.2565130260521042,0.5742536018179007,0.8664715487219811,0.8113879003558719,0.2978056064186593,0.8107836301222913,0.8611852338553959,0.4098016138155562,0.8114406779661016,1532,356,15,64,1967,none,test,0.06505706438570893,f1
xgb,lopo_flask/val,all,label_llm,0.12812569737434387,0.3724137931034483,0.32727272727272727,0.34838709677419355,0.6555175128841382,0.9271974087715288,0.9293459251486533,0.3119255952618161,0.6467469798204765,0.7677982497581606,0.2757225550191676,0.9662212323682257,2603,91,111,54,2859,none,val,0.12812569737434387,f1
xgb,lopo_flask/test,all,label_llm,0.12812569737434387,0.24324324324324326,0.569620253164557,0.3409090909090909,0.6467488233837008,0.9280218666203908,0.9115404168784952,0.3332653667513363,0.7477338553958378,0.8291608560394765,0.3425986153971571,0.9258474576271186,1748,140,34,45,1967,none,test,0.12812569737434387,f1
rf,lopo_flask/val,all,label_llm,0.168,0.336,0.509090909090909,0.40481927710843374,0.679120934047334,0.9217613294298028,0.913606155998601,0.3694027057103763,0.7237362489032868,0.812492407369913,0.30252333975944296,0.9383815887156645,2528,166,81,84,2859,class_weight,val,0.168,f1
rf,lopo_flask/test,all,label_llm,0.168,0.25,0.6835443037974683,0.36610169491525424,0.6573569755147857,0.9252170683488234,0.9049313675648195,0.37536721990515,0.7988696095258527,0.8653152488736324,0.4742766526301645,0.9141949152542372,1726,162,25,54,1967,class_weight,test,0.168,f1
lgbm,lopo_flask/val,all,label_llm,0.27520211416046947,0.26548672566371684,0.36363636363636365,0.3069053708439898,0.6280162296307428,0.9120628759657194,0.9052116124519063,0.26103207605488216,0.651008976176014,0.7205732154507208,0.2221246011817338,0.9383815887156645,2528,166,105,60,2859,class_weight,val,0.27520211416046947,f1
lgbm,lopo_flask/test,all,label_llm,0.27520211416046947,0.1388235294117647,0.7468354430379747,0.23412698412698413,0.560795270489148,0.8612238063453528,0.8037620742247077,0.26380737270181864,0.7764897554172925,0.8267036311950225,0.4459273680264544,0.8061440677966102,1522,366,20,59,1967,class_weight,test,0.27520211416046947,f1
xgb,lopo_flask/val,all,label_llm,0.16504910588264465,0.30412371134020616,0.3575757575757576,0.3286908077994429,0.641859865553015,0.9188813930307288,0.9157047918852745,0.2850927233781415,0.6537321995005737,0.754852534251198,0.2457033384925647,0.9498886414253898,2559,135,106,59,2859,class_weight,val,0.16504910588264465,f1
xgb,lopo_flask/test,all,label_llm,0.16504910588264465,0.1962962962962963,0.6708860759493671,0.3037249283667622,0.6179712507942597,0.9069756215473574,0.8764616166751398,0.31719562387954287,0.7779748176357004,0.8362207680755203,0.384304050935972,0.8850635593220338,1671,217,26,53,1967,class_weight,test,0.16504910588264465,f1
rf,lopo_flask/val,no_maturity,label_llm,0.364,0.37714285714285717,0.4,0.38823529411764707,0.6747796031763393,0.9282495428788343,0.9272472892619797,0.3497658153052423,0.6797698589458054,0.8052585993565948,0.355928746764374,0.959539717891611,2585,109,99,66,2859,none,val,0.364,f1
rf,lopo_flask/test,no_maturity,label_llm,0.364,0.45714285714285713,0.4050632911392405,0.42953020134228187,0.7035365669855399,0.9555332703147996,0.9567869852567361,0.40796281412950147,0.6924680862475864,0.8634647875992278,0.4486708961167796,0.9798728813559322,1850,38,47,32,1967,none,test,0.364,f1
lgbm,lopo_flask/val,no_maturity,label_llm,0.17912496524744329,0.27741935483870966,0.5212121212121212,0.36210526315789476,0.6521569611612476,0.9087294495314747,0.8940188877229801,0.32855868356071766,0.7190321927515692,0.7996917954601697,0.34800683512282243,0.9168522642910171,2470,224,79,86,2859,none,val,0.17912496524744329,f1
lgbm,lopo_flask/test,no_maturity,label_llm,0.17912496524744329,0.2945205479452055,0.5443037974683544,0.38222222222222224,0.672372906743357,0.9392171305861291,0.929334011184545,0.36682290255865446,0.7448743563612958,0.8724086837588501,0.42050653616922185,0.9454449152542372,1785,103,36,43,1967,none,test,0.17912496524744329,f1
xgb,lopo_flask/val,no_maturity,label_llm,0.14767275750637054,0.27335640138408307,0.47878787878787876,0.34801762114537443,0.6458933090529304,0.9093867034979143,0.8964672962574327,0.3100937079033221,0.7004184382803537,0.7643438842770692,0.30100180743104193,0.9220489977728286,2484,210,86,79,2859,none,val,0.14767275750637054,f1
xgb,lopo_flask/test,no_maturity,label_llm,0.14767275750637054,0.2922077922077922,0.569620253164557,0.38626609442060084,0.6738139442651505,0.9382644070860912,0.9273004575495679,0.37413604419191054,0.7559436011585496,0.8658382053207467,0.41289554925264,0.9422669491525424,1779,109,34,45,1967,none,test,0.14767275750637054,f1
rf,lopo_flask/val,no_maturity,label_llm,0.36,0.31693989071038253,0.3515151515151515,0.3333333333333333,0.6450651769087523,0.920815380617124,0.9188527457152851,0.2906944821736331,0.6525578727137747,0.7812388922633912,0.28847273872040446,0.9536005939123979,2569,125,107,58,2859,class_weight,val,0.36,f1
rf,lopo_flask/test,no_maturity,label_llm,0.36,0.31683168316831684,0.4050632911392405,0.35555555555555557,0.6623275913100101,0.9444580502219614,0.9410269445856635,0.32783490009309385,0.6842583404848744,0.8385740720875349,0.3076983584601378,0.9634533898305084,1819,69,47,32,1967,class_weight,test,0.36,f1
lgbm,lopo_flask/val,no_maturity,label_llm,0.76733869282888,0.3904109589041096,0.34545454545454546,0.3665594855305466,0.665062616817428,0.9291110320061382,0.9310947883875481,0.33096016535030076,0.6562090841600864,0.7879788981125284,0.3487441801327594,0.9669636228656273,2605,89,108,57,2859,class_weight,val,0.76733869282888,f1
lgbm,lopo_flask/test,no_maturity,label_llm,0.76733869282888,0.5081967213114754,0.3924050632911392,0.44285714285714284,0.7111491829204006,0.9578905659780689,0.9603457041179461,0.42645256039941104,0.6882576163913323,0.8701257777301008,0.4704870149003151,0.9841101694915254,1858,30,48,31,1967,class_weight,test,0.76733869282888,f1
xgb,lopo_flask/val,no_maturity,label_llm,0.7393648028373718,0.3178294573643411,0.24848484848484848,0.2789115646258503,0.6199130094515682,0.9215543714537512,0.925848198670864,0.24246865669697754,0.6079098332995883,0.7272356077478572,0.2579915482040495,0.9673348181143281,2606,88,124,41,2859,class_weight,val,0.7393648028373718,f1
xgb,lopo_flask/test,no_maturity,label_llm,0.7393648028373718,0.4909090909090909,0.34177215189873417,0.40298507462686567,0.6909662215239591,0.9558151766519929,0.9593289273004576,0.38936731580587763,0.6634708217120789,0.8397507240935421,0.4130780759941231,0.9851694915254238,1860,28,52,27,1967,class_weight,test,0.7393648028373718,f1
rf,lopo_keras/val,all,label_llm,0.38,0.325,0.23214285714285715,0.2708333333333333,0.6252304035700427,0.957151555422544,0.9603624009060022,0.25480348795752805,0.6081766917293233,0.7796940267335004,0.20992496911606026,0.9842105263157894,1683,27,43,13,1766,none,val,0.38,f1
rf,lopo_keras/test,all,label_llm,0.38,0.4119718309859155,0.4043778801843318,0.40813953488372096,0.6737577140831182,0.8895581362503034,0.8900172860847018,0.34753948669029483,0.6723248485327954,0.7689509811031339,0.3503673956417894,0.9402718168812589,7887,501,517,351,9256,none,test,0.38,f1
lgbm,lopo_keras/val,all,label_llm,0.1145396479973982,0.3181818181818182,0.25,0.28,0.6295104895104895,0.9568549683611972,0.9592298980747452,0.26133054820397966,0.6162280701754386,0.7385286131996658,0.1833817271217511,0.9824561403508771,1680,30,42,14,1766,none,val,0.1145396479973982,f1
lgbm,lopo_keras/test,all,label_llm,0.1145396479973982,0.4080717488789238,0.41935483870967744,0.41363636363636364,0.6760158895545715,0.8891850808796496,0.888504753673293,0.3520844133879301,0.6782038857353824,0.7643276465831152,0.355215108529482,0.9370529327610873,7860,528,504,364,9256,none,test,0.1145396479973982,f1
xgb,lopo_keras/val,all,label_llm,0.1638675481081009,0.2708333333333333,0.23214285714285715,0.25,0.6136231038506418,0.9541851728024886,0.9558323895809739,0.22810220398033507,0.6058375104427736,0.7246919381787802,0.19327142389222735,0.97953216374269,1675,35,43,13,1766,none,val,0.1638675481081009,f1
xgb,lopo_keras/test,all,label_llm,0.1638675481081009,0.40554156171284633,0.3709677419354839,0.38748495788206977,0.6635347638075038,0.8878103191833965,0.8900172860847018,0.32759310117542845,0.657348439398834,0.7542994682990183,0.329057613022102,0.9437291368621841,7916,472,546,322,9256,none,test,0.1638675481081009,f1
rf,lopo_keras/val,all,label_llm,0.172,0.18699186991869918,0.4107142857142857,0.2569832402234637,0.6086586347255105,0.9380307199499645,0.9246885617214043,0.24246716525921372,0.6761173767752715,0.7609179197994989,0.1650687062422349,0.9415204678362573,1610,100,33,23,1766,class_weight,val,0.172,f1
rf,lopo_keras/test,all,label_llm,0.172,0.31979320531757754,0.4988479262672811,0.38973897389738976,0.653248860797682,0.8673364093597171,0.8535004321521176,0.32093320467883035,0.694524106195157,0.7667185978872605,0.33798929233454306,0.8902002861230329,7467,921,435,433,9256,class_weight,test,0.172,f1
lgbm,lopo_keras/val,all,label_llm,0.2981339808497037,0.23529411764705882,0.2857142857142857,0.25806451612903225,0.6155346054823565,0.9503338850918686,0.9479048697621744,0.23250268301464364,0.6276524644945698,0.7043076441102757,0.1610084299335525,0.9695906432748538,1658,52,40,16,1766,class_weight,val,0.2981339808497037,f1
lgbm,lopo_keras/test,all,label_llm,0.2981339808497037,0.3687150837988827,0.45622119815668205,0.407826982492276,0.6692122238955043,0.8815736127624314,0.8757562662057045,0.3416973117252104,0.68769572068063,0.7569331132471449,0.3483759740168786,0.919170243204578,7710,678,472,396,9256,class_weight,test,0.2981339808497037,f1
xgb,lopo_keras/val,all,label_llm,0.0964476466178894,0.2375,0.3392857142857143,0.27941176470588236,0.6252771426591839,0.9492076835055943,0.9445073612684032,0.25582261783567106,0.6518065998329157,0.6911288638262323,0.1744697291854697,0.9643274853801169,1649,61,37,19,1766,class_weight,val,0.0964476466178894,f1
xgb,lopo_keras/test,all,label_llm,0.0964476466178894,0.3269992082343626,0.47580645161290325,0.38761145002346314,0.6539729919673509,0.8703773562087118,0.8590103716508211,0.3180174322383713,0.687235605396342,0.7661321225846007,0.33681202774421937,0.8986647591797806,7538,850,455,413,9256,class_weight,test,0.0964476466178894,f1
rf,lopo_keras/val,no_maturity,label_llm,0.332,0.3191489361702128,0.26785714285714285,0.2912621359223301,0.6349865651906781,0.9569119366571829,0.9586636466591166,0.27124085097506545,0.6245718462823726,0.7692199248120302,0.23455938771911394,0.9812865497076023,1678,32,41,15,1766,none,val,0.332,f1
rf,lopo_keras/test,no_maturity,label_llm,0.332,0.3899905571293673,0.47580645161290325,0.4286455630513752,0.6811301375703063,0.886260215398997,0.8810501296456352,0.3652243312243265,0.6993958342947683,0.8000992750231294,0.3599326886620504,0.9229852169766333,7742,646,455,413,9256,none,test,0.332,f1
lgbm,lopo_keras/val,no_maturity,label_llm,0.12037460518146458,0.21875,0.375,0.27631578947368424,0.6218857053877297,0.9455395224442591,0.9377123442808607,0.2559235911760243,0.6655701754385965,0.725328947368421,0.23886157293062882,0.956140350877193,1635,75,35,21,1766,none,val,0.12037460518146458,f1
lgbm,lopo_keras/test,no_maturity,label_llm,0.12037460518146458,0.32901367890568756,0.5264976958525346,0.4049623393885689,0.6611708036530664,0.8693263407391749,0.85490492653414,0.3390672485202103,0.7076932923707118,0.7692363212533155,0.3413309803696237,0.8888888888888888,7456,932,411,457,9256,none,test,0.12037460518146458,f1
xgb,lopo_keras/val,no_maturity,label_llm,0.4033835232257843,0.37037037037037035,0.17857142857142858,0.24096385542168675,0.6113488456580745,0.9582439610889834,0.964326160815402,0.24082135683082168,0.5843149540517961,0.7281432748538013,0.19728136858296633,0.9900584795321637,1693,17,46,10,1766,none,val,0.4033835232257843,f1
xgb,lopo_keras/test,no_maturity,label_llm,0.4033835232257843,0.4248633879781421,0.358294930875576,0.38875,0.6654606196783349,0.8902730505319519,0.8943388072601556,0.3328199920417476,0.6540520910934866,0.7550866088047661,0.33177906826262976,0.9498092513113973,7967,421,557,311,9256,none,test,0.4033835232257843,f1
