model,split,feature_set,label_col,threshold,p_debt,r_debt,f1_debt,f1_macro,f1_weighted,f1_micro,mcc,balanced_acc,roc_auc,pr_auc_debt,specificity,tn,fp,fn,tp,n_samples,imbalance,phase,tuned_threshold,threshold_objective
rf,time/val,all,label_llm,0.332,0.33663366336633666,0.43729903536977494,0.3804195804195804,0.6614248649336368,0.9008640883376473,0.8946492271105826,0.32722525779067335,0.6842376019170395,0.8134259649192342,0.29719096283834723,0.9311761684643041,3626,268,175,136,4205,none,val,0.332,f1
rf,time/test,all,label_llm,0.332,0.34275618374558303,0.3991769547325103,0.3688212927756654,0.6633926671525833,0.9239750367937029,0.9211775878442545,0.3281248072421521,0.6761568825060889,0.8283627122545405,0.3102833652444501,0.9531368102796675,3783,186,146,97,4212,none,test,0.332,f1
lgbm,time/val,all,label_llm,0.0828573264772866,0.24242424242424243,0.5144694533762058,0.329557157569516,0.6210226976179345,0.8693749045129365,0.8451843043995244,0.2777541246074004,0.6930333913003268,0.7654136878072787,0.2282178124887645,0.8715973292244479,3394,500,151,160,4205,none,val,0.0828573264772866,f1
lgbm,time/test,all,label_llm,0.0828573264772866,0.23819301848049282,0.4773662551440329,0.3178082191780822,0.6265412294226778,0.899651200023666,0.8817663817663818,0.27991420261366956,0.6919459141681363,0.7863462409807697,0.26584270124601395,0.9065255731922398,3598,371,127,116,4212,none,test,0.0828573264772866,f1
xgb,time/val,all,label_llm,0.1279914826154709,0.2827763496143959,0.3536977491961415,0.3142857142857143,0.6260144524735964,0.8916325425870761,0.8858501783590963,0.25475565867417105,0.6410245294516916,0.7368777424911274,0.22041688878943547,0.9283513097072419,3615,279,201,110,4205,none,val,0.1279914826154709,f1
xgb,time/test,all,label_llm,0.1279914826154709,0.30952380952380953,0.32098765432098764,0.3151515151515151,0.6361985347229387,0.9202016674207365,0.9195156695156695,0.27246292155777585,0.6385739480977577,0.7681418856217994,0.2513247796928238,0.9561602418745276,3795,174,165,78,4212,none,test,0.1279914826154709,f1
rf,time/val,all,label_llm,0.184,0.28714859437751006,0.45980707395498394,0.3535228677379481,0.6423580658910764,0.8884690088120416,0.8756242568370987,0.2985767927104016,0.684320588852171,0.7990448657923723,0.24782954084055986,0.908834103749358,3539,355,168,143,4205,class_weight,val,0.184,f1
rf,time/test,all,label_llm,0.184,0.31216931216931215,0.48559670781893005,0.38003220611916266,0.6653461043411397,0.9177391681528887,0.9085944919278253,0.342699180446672,0.7100445116318133,0.8299330096312265,0.2962645437133865,0.9344923154446964,3709,260,125,118,4212,class_weight,test,0.184,f1
lgbm,time/val,all,label_llm,0.3369042247211406,0.25678119349005424,0.4565916398713826,0.3287037037037037,0.6259208950535482,0.8791739739135939,0.8620689655172413,0.271839504485426,0.6755223222469393,0.7345136470156908,0.2192888008700798,0.8944530046224961,3483,411,169,142,4205,class_weight,val,0.3369042247211406,f1
lgbm,time/test,all,label_llm,0.3369042247211406,0.2768817204301075,0.42386831275720166,0.33495934959349594,0.6412919426927655,0.9122784673575038,0.9028964862298196,0.2925971604201062,0.6780465272528765,0.7735645698608662,0.27262960074562564,0.9322247417485513,3700,269,140,103,4212,class_weight,test,0.3369042247211406,f1
xgb,time/val,all,label_llm,0.16933736205101013,0.23639774859287055,0.40514469453376206,0.2985781990521327,0.6101667098882128,0.8756653149597168,0.8592152199762187,0.23647661831959604,0.6503124602612314,0.7124944468941417,0.18555090051944176,0.8954802259887006,3487,407,185,126,4205,class_weight,val,0.16933736205101013,f1
xgb,time/test,all,label_llm,0.16933736205101013,0.21342925659472423,0.3662551440329218,0.2696969696969697,0.603807784178727,0.8993673508356661,0.8855650522317189,0.2214106340729175,0.6418073402200386,0.7538951565994482,0.23605808596285732,0.9173595364071555,3641,328,154,89,4212,class_weight,test,0.16933736205101013,f1
rf,time/val,all,label_llm,0.368,0.25116279069767444,0.5209003215434084,0.3389121338912134,0.627062721091032,0.8725903201247894,0.8497027348394768,0.28821348485449316,0.6984316707871125,0.7951510857663782,0.2243747177877429,0.8759630200308166,3411,483,149,162,4205,smote,val,0.368,f1
rf,time/test,all,label_llm,0.368,0.2540322580645161,0.5185185185185185,0.34100135317997293,0.6388155757441829,0.9022666187817534,0.8843779677113011,0.30764958864175335,0.7126480221718317,0.8052587595013619,0.258078730039789,0.9067775258251449,3599,370,117,126,4212,smote,test,0.368,f1
lgbm,time/val,all,label_llm,0.18955753650647786,0.22418478260869565,0.5305466237942122,0.3151862464183381,0.6089037302986706,0.8591747754219122,0.8294887039239002,0.26440362860793815,0.6919553868842658,0.7390539819691273,0.21786266679122002,0.8533641499743194,3323,571,146,165,4205,smote,val,0.18955753650647786,f1
lgbm,time/test,all,label_llm,0.18955753650647786,0.1971153846153846,0.5061728395061729,0.2837370242214533,0.6007807788832554,0.8812425618533112,0.8525641025641025,0.2493706956776648,0.6899722852103805,0.7548205381832659,0.24398044703158664,0.873771730914588,3468,501,120,123,4212,smote,test,0.18955753650647786,f1
xgb,time/val,all,label_llm,0.1453392207622528,0.2583479789103691,0.47266881028938906,0.3340909090909091,0.6281344319690934,0.8786832886807543,0.8606420927467301,0.27871839996603875,0.6821484780774115,0.7393103744403543,0.2230415705845449,0.891628145865434,3472,422,164,147,4205,smote,val,0.1453392207622528,f1
xgb,time/test,all,label_llm,0.1453392207622528,0.2556390977443609,0.41975308641975306,0.3177570093457944,0.6307366388286412,0.9076032341403903,0.896011396011396,0.274628866876528,0.672461577223482,0.7564431960865432,0.25580479307537624,0.9251700680272109,3672,297,141,102,4212,smote,test,0.1453392207622528,f1
rf,time/val,change_only,label_llm,0.36799999999999994,0.36017897091722595,0.5176848874598071,0.42480211081794195,0.6839117715616108,0.9046941531179878,0.8963139120095125,0.3771918246316965,0.7221192798880957,0.8231209858682746,0.3340423029456241,0.9265536723163842,3608,286,150,161,4205,none,val,0.36799999999999994,f1
rf,time/test,change_only,label_llm,0.36799999999999994,0.3333333333333333,0.448559670781893,0.3824561403508772,0.6688191065900044,0.9221401921092325,0.9164292497625831,0.3429785012622947,0.6968169984043,0.814006077968453,0.3105870286827404,0.9450743260267069,3751,218,134,109,4212,none,test,0.36799999999999994,f1
lgbm,time/val,change_only,label_llm,0.25109609194726906,0.3367768595041322,0.5241157556270096,0.410062893081761,0.6742369619709527,0.8993346287557266,0.8884661117717003,0.36218845822757645,0.7208406204945526,0.7993016711339236,0.34637451429829147,0.9175654853620955,3573,321,148,163,4205,none,val,0.25109609194726906,f1
lgbm,time/test,change_only,label_llm,0.25109609194726906,0.31521739130434784,0.4773662551440329,0.37970540098199673,0.6655982527756521,0.9185034678238858,0.9100189933523267,0.34174048617895775,0.7069370958259847,0.8066356858243984,0.30733193550749127,0.9365079365079365,3717,252,127,116,4212,none,test,0.25109609194726906,f1
