seed,phase,f1_debt,roc_auc,pr_auc_debt,p_debt,r_debt,mcc
0,val,0.5006134969325153,0.8956912078989855,0.41300726882504246,0.422360248447205,0.6144578313253012,0.458740682153999
0,test,0.4131147540983607,0.8685260136140206,0.3438444732908238,0.328125,0.5575221238938053,0.3857785663229483
1,val,0.48975188781014023,0.8939810364618817,0.4016671471267791,0.3815126050420168,0.6837349397590361,0.4554997435572996
1,test,0.39183673469387753,0.8702682841271885,0.33771500052553477,0.2829076620825147,0.6371681415929203,0.3771895103779854
2,val,0.49404117009750814,0.8949267247145047,0.4024563752382214,0.38578680203045684,0.6867469879518072,0.46012432218537574
2,test,0.3988919667590028,0.871808520085787,0.3493548078764254,0.2903225806451613,0.6371681415929203,0.38371167475948387
3,val,0.4950276243093923,0.8962130473870695,0.4127660640283984,0.39092495636998253,0.6746987951807228,0.45950716210067916
3,test,0.40520984081041966,0.8709237863495687,0.34017338319727114,0.3010752688172043,0.6194690265486725,0.3867971434019894
4,val,0.49137055837563454,0.896522962492884,0.4126244151455953,0.37059724349157736,0.7289156626506024,0.46370929079678647
4,test,0.36755386565272496,0.869541736786718,0.3438765456778544,0.25754884547069273,0.6415929203539823,0.3554137938117243
