commit_uid,variant,trial,label,label_int,confidence,rationale
flask#33850c0ebd23ae615e6823993d441f46d80b1ff0,v1_satd_filtered,0,yes,1.0,,
flask#b15ad394279fc3b7f998fa56857f334a7c0156f6,v1_satd_filtered,0,no,0.0,,
flask#4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,v1_satd_filtered,0,no,0.0,,
flask#3b36bef2e6165bb4dad73d17f23ee1879e99f497,v1_satd_filtered,0,no,0.0,,
flask#4aa76212d1be9b17a57249549c2a73fb10b6cda8,v1_satd_filtered,0,no,0.0,,
flask#727c701686c18c4a27ca523eb0c5862d497be24e,v1_satd_filtered,0,no,0.0,,
flask#7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,v1_satd_filtered,0,yes,1.0,,
flask#3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,v1_satd_filtered,0,no,0.0,,
flask#05f36c7f7e2df36ee28f90d99632162579b1287c,v1_satd_filtered,0,no,0.0,,
flask#1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,v1_satd_filtered,0,no,0.0,,
flask#574e81f9c8bbdc41958e1e7a7613633b091101f8,v1_satd_filtered,0,no,0.0,,
flask#03168a5d53457fdb8676a4ac9fca0f76a23c6852,v1_satd_filtered,0,no,0.0,,
flask#f2dc38cda61f76c64b97ab9f730accc986a4b188,v1_satd_filtered,0,no,0.0,,
flask#ef524f2cfd65377b3b9ce896e7a710472b13c0f6,v1_satd_filtered,0,no,0.0,,
flask#03148dba6b26a2694da1d466584f50189c52e7b3,v1_satd_filtered,0,no,0.0,,
flask#2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,v1_satd_filtered,0,no,0.0,,
flask#a01e8b49ca66608f0bd46134ff02deeb5724c799,v1_satd_filtered,0,no,0.0,,
flask#de03143f6ecf9a36dd32f16f07309c64d4de03b0,v1_satd_filtered,0,no,0.0,,
flask#4affedec356ad8c9e6a107578f03fc7f5c615064,v1_satd_filtered,0,no,0.0,,
flask#959b5df00431c436474c5abca304e631c0de7721,v1_satd_filtered,0,no,0.0,,
flask#08f1f0dc32004fae01cf96d1eed84e6461e698e5,v1_satd_filtered,0,no,0.0,,
flask#ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,v1_satd_filtered,0,no,0.0,,
flask#2d9bb692728fd76b19e467499caa4f5fcb07aede,v1_satd_filtered,0,no,0.0,,
flask#c33675f0251071ea47ce166b81ce8c637842f091,v1_satd_filtered,0,yes,1.0,,
flask#fc94599285aa1aec50b3c9426697249e55edda0a,v1_satd_filtered,0,no,0.0,,
flask#1d8432ebfd1637eacab79a15e9b7963bf061371c,v1_satd_filtered,0,no,0.0,,
flask#1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,v1_satd_filtered,0,no,0.0,,
flask#6dd92ae4b32c336564231e10db12458a8b9261ca,v1_satd_filtered,0,no,0.0,,
flask#40e0024d7b87150ed694829a5335bd2435962225,v1_satd_filtered,0,no,0.0,,
flask#7b5015010bc8c2a2d56c7c50b37e5b9facdad102,v1_satd_filtered,0,no,0.0,,
flask#fb2d2e446bdd806ea3de7b869c7371e2dae57a23,v1_satd_filtered,0,no,0.0,,
flask#6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac,v1_satd_filtered,0,no,0.0,,
flask#0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,v1_satd_filtered,0,no,0.0,,
flask#9fbf9a062c11904b5022a5aa7941449e31340c32,v1_satd_filtered,0,no,0.0,,
flask#5310fc38227b1907cb541f4a30ea8dfef46c2e19,v1_satd_filtered,0,no,0.0,,
