feature,importance_mean,importance_std
lines_added,0.18640885512571148,0.007817902096386348
cc_delta_max,0.06760825576258435,0.011442324226367847
cc_delta_sum,0.018185802264356656,0.008107836742534182
contributors_count,0.01713152848224232,0.005074867374253507
churn_delta,0.017090975493058956,0.006505390328327574
n_commits_file_past90d,0.014422509440189546,0.004794965684943794
hunks,0.013052903303915564,0.005502843031018208
contributors_cum,0.010419686213978175,0.0049153625442110846
dmm_unit_interfacing,0.004743650563690582,0.005335686316870797
complexity_current_sum,0.0015344837465044114,0.008847551894688747
churn_cum,0.0006917899208748301,0.00464925716309367
n_methods_changed,0.0003285892221308151,0.0032955034540407173
n_authors_till_now,-0.00014060105091415754,0.003817930784091069
dmm_unit_size,-0.0002236145649082366,0.006420854639203298
dmm_unit_complexity,-0.0008066389811264507,0.0018813760695926543
files_changed,-0.001057375991292031,0.0035056306817928813
lines_deleted,-0.012148955486576485,0.0014807817143665158
