feature,mean_abs_shap
lines_added,1.4411845802061263
n_authors_till_now,0.5983174051027148
churn_cum,0.34973695800826243
contributors_count,0.3331542389464142
complexity_current_sum,0.2693693451508652
cc_delta_max,0.2616517408852403
contributors_cum,0.24221986310166746
n_commits_file_past90d,0.2330145549062849
cc_delta_sum,0.21331567711380903
churn_delta,0.20360312347282705
hunks,0.19584410171715377
lines_deleted,0.17820092249519745
n_methods_changed,0.15463724011739652
files_changed,0.13644157915708816
dmm_unit_complexity,0.11509750309000047
dmm_unit_interfacing,0.08786749048498245
dmm_unit_size,0.07393717079227198
