shap_feature,lime_feature,perm_feature
lines_added,lines_added,lines_added
n_authors_till_now,churn_delta,cc_delta_max
churn_cum,cc_delta_max,cc_delta_sum
contributors_count,n_authors_till_now,contributors_count
complexity_current_sum,churn_cum,churn_delta
cc_delta_max,cc_delta_sum,n_commits_file_past90d
contributors_cum,hunks,hunks
n_commits_file_past90d,dmm_unit_interfacing,contributors_cum
cc_delta_sum,n_methods_changed,dmm_unit_interfacing
churn_delta,n_commits_file_past90d,complexity_current_sum
hunks,files_changed,churn_cum
lines_deleted,dmm_unit_size,n_methods_changed
n_methods_changed,contributors_cum,n_authors_till_now
files_changed,complexity_current_sum,dmm_unit_size
dmm_unit_complexity,lines_deleted,dmm_unit_complexity
